state,Abb,state_abr,McDonalds,population,mcdonalds_per_1m,Votes,Winning_Party,Rep_e,Dem_e,Republican,Democrat,Other_parties,Total_votes,Year,Adult_Obesity,Adult_Obesity_100,Average_Age,Average_Income,population_2017,Poverty_Rate,Poverty_Rate_100,Real_GDP,Real_GDP_Growth,Real_GDP_Growth_100,Real_Personal_Income,Region,Region_Encoding,High_Min_Wage,Low_Min_Wage,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,burglary,larceny,vehicle_theft,number_of_universities,Total_pop,Hispanic,White,Black,Asian,American_Indian,Unemployment,Specific_Region
Alabama,Ala.,AL,245,4888949,50.1130202,9,Republicans,9,NA,1318255,729547,75570,2123372,2017,0.340000004,34,39.17638392,26471.72046,4874747,0.168889188,16.89,193053,0.0181,1.81,215669.8,South,5,0,0,FALSE,2016,23745,FALSE,FALSE,4860545,25878,407,34045,97498,11716,118,4874747,201970,3191450,1302295,65494,22209,6.1,South East Central
Alaska,Alaska,AK,3,738068,4.064666128,3,Republicans,3,NA,163387,116454,38767,318608,2017,0.287,28.7,35.59140302,34438.53759,739795,0.111054975,11.11,52492,-0.0022,-0.22,38119.9,West,8,10.01,10.01,TRUE,2016,4378,FALSE,FALSE,741522,5966,52,4053,17766,3057,18,739795,51712,448081,21192,48569,105146,3,Pacific
Arizona,Ariz.,AZ,289,7123898,40.56767798,11,Republicans,11,NA,1252401,1161167,159597,2573165,2017,0.261000007,26.1,38.68951409,29420.61094,7016270,0.148618005,14.86,297209.8,0.0295,2.95,294575.6,West,6,10.22,10.22,FALSE,2016,42248,FALSE,FALSE,6908642,32542,389,38216,150618,18483,167,7016270,2202173,3836639,290379,225810,274496,4.7,Mountain
Arkansas,Ark.,AR,173,3020327,57.27856619,6,Republicans,6,NA,684872,380494,65310,1130676,2017,0.344000012,34.4,38.64758699,25272.81432,3004279,0.164030297,16.4,114851.2,0.0094,0.94,136629.5,South,5,8.68,8.68,FALSE,2016,15833,FALSE,FALSE,2988231,16563,217,23814,67091,7187,112,3004279,223764,2173307,455500,46583,16901,3.5,South West Central
California,Calif.,CA,1288,39776830,32.3806598,55,Democrats,NA,55,4483814,8753792,943998,14181604,2017,0.226999998,22.7,37.65111657,35128.22756,39536653,0.133018957,13.3,2587571.6,0.0355,3.55,1955659.6,West,8,10.22,10.22,FALSE,2016,129416,FALSE,FALSE,39296476,174796,1930,188304,637010,176756,1295,39536653,15477306,14616636,2164239,5679986,147880,4,Pacific
Colorado,Colo.,CO,211,5684203,37.12041952,9,Democrats,NA,9,1202484,1338870,238893,2780247,2017,0.202000007,20.2,37.78889237,36491.06897,5607154,0.102918347,10.29,325129.4,0.0308,3.08,285343,West,7,9.5,9.5,FALSE,2016,19486,FALSE,FALSE,5530105,19030,189,23825,108680,19641,169,5607154,1206724,3822055,219500,176176,32102,2.8,Mountain
Connecticut,Conn.,CT,142,3588683,39.56883347,7,Democrats,NA,7,673215,897572,74133,1644920,2017,0.250999987,25.1,40.38352437,41961.13526,3588184,0.095942553,9.59,239884,-0.0065,-0.65,226462.2,North East,1,10.32,10.32,TRUE,2016,15040,FALSE,FALSE,3587685,8169,79,10107,47642,7126,134,3588184,578833,2393694,354320,162564,7486,3.7,North East
Delaware,Del.,DE,37,971180,38.0979839,3,Democrats,NA,3,185127,235603,23084,443814,2017,0.294,29.4,40.29274933,34849.82608,961939,0.135821603,13.58,63651,-0.0011,-0.11,45604.3,South,2,8.43,8.43,TRUE,2016,6334,FALSE,FALSE,952698,4859,58,5028,19812,1530,32,961939,89540,597917,206690,38404,2344,3.8,South Atlantic
District of Columbia,D.C.,DC,27,703608,38.37363987,3,Democrats,NA,3,12723,282830,15715,311268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North East,NA,11.75,11.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,693972,76526,253416,314705,28056,1574,5.5,South Atlantic
Florida,Fla.,FL,907,21312211,42.55776184,29,Republicans,29,NA,4617886,4504975,297178,9420039,2017,0.256999999,25.7,41.52116124,29834.12689,20984400,0.140472399,14.05,885905.7,0.0253,2.53,952254.7,South,5,8.27,8.27,FALSE,2016,98010,FALSE,FALSE,20656589,88700,1111,100325,410352,43135,554,20984400,5370860,11288419,3224452,578136,42654,3.1,South Atlantic
Georgia,Ga.,GA,454,10545138,43.05301647,16,Republicans,16,NA,2089104,1877963,147665,4114732,2017,0.296000004,29.6,37.25368903,29607.16698,10429379,0.149457392,14.95,509422.2,0.0287,2.87,475057.9,South,5,5.26,5.26,FALSE,2016,53433,FALSE,FALSE,10313620,40268,682,62715,218127,26463,242,10429379,1001472,5487048,3245371,408067,18335,3.4,South Atlantic
Hawaii,Hawaii,HI,NA,1426393,NA,4,Democrats,NA,3,128847,266891,33199,428937,2017,0.223000005,22.3,39.82994288,33731.14697,1427538,0.095458572,9.55,79997.7,0.0158,1.58,60538.5,West,8,9.45,9.45,TRUE,2016,5182,FALSE,FALSE,1428683,3452,35,5983,30871,5499,66,1427538,150125,310584,22629,532881,1659,2.7,Pacific
Idaho,Idaho,ID,62,1753860,35.35059811,4,Republicans,4,NA,409055,189765,91435,690255,2017,0.280000001,28,37.47388003,26228.79206,1716943,0.128259801,12.83,67160.6,0.0243,2.43,73733,West,7,7.41,7.41,FALSE,2016,7221,FALSE,FALSE,1680026,3876,49,6318,20962,2077,49,1716943,213619,1407302,10947,22698,19136,2.9,Mountain
Illinois,Ill.,IL,663,12768320,51.92539034,20,Democrats,NA,20,2146015,3090729,299680,5536424,2017,0.273000002,27.3,38.62901129,33998.3873,12802023,0.125542878,12.55,748161.6,0.0058,0.58,663495.6,Mid West,3,8.43,8.43,FALSE,2016,43616,FALSE,FALSE,12835726,56054,1061,48193,195196,19867,389,12802023,2206927,7834272,1790512,689701,12784,4,East North Central
Indiana,Ind.,IN,349,6699629,52.09243676,11,Republicans,11,NA,1557286,1033126,144546,2734958,2017,0.317000002,31.7,38.29444512,28224.28091,6666818,0.134792089,13.48,320084.2,0.0157,1.57,317709.3,Mid West,3,7.41,7.41,FALSE,2016,25143,FALSE,FALSE,6634007,26516,431,33567,120454,14439,152,6666818,461618,5278785,613080,146611,9694,3.3,East North Central
Iowa,Iowa,IA,147,3160553,46.51084794,6,Republicans,6,NA,800983,653669,111379,1566031,2017,0.312999994,31.3,38.90350735,30953.90686,3145711,0.10728072,10.73,168332.1,-0.0034,-0.34,157475,Mid West,4,7.41,7.41,FALSE,2016,9049,FALSE,FALSE,3130869,9170,73,15306,45580,5002,105,3145711,185746,2701250,103989,80937,7825,2.7,West North Central
Kansas,Kans.,KS,148,2918515,50.71072103,6,Republicans,6,NA,671018,427005,86379,1184402,2017,0.307999998,30.8,37.94803549,30312.84906,2913123,0.119010347,11.9,149420.7,0.0079,0.79,149752.5,Mid West,4,7.41,7.41,FALSE,2016,9653,FALSE,FALSE,2907731,11665,132,14759,60119,7415,104,2913123,345510,2210739,161148,85386,17617,3.2,West North Central
Kentucky,Ky.,KY,251,4472265,56.12368677,8,Republicans,8,NA,1202971,628854,92324,1924149,2017,0.328999996,32.9,38.86620774,26627.37441,4454189,0.172400581,17.24,183566,0.0108,1.08,196801.6,South,5,7.41,7.41,FALSE,2016,11867,FALSE,FALSE,4436113,10452,265,20932,66833,9948,124,4454189,155163,3769995,355829,64381,6882,4.3,South East Central
Louisiana,La.,LA,240,4682509,51.25457314,8,Republicans,8,NA,1178638,780154,70240,2029032,2017,0.344999999,34.5,37.88575449,26010.45294,4684333,0.19745919,19.75,228678.1,7.00E-04,0.07,215828.2,South,5,0,0,FALSE,2016,15059,FALSE,FALSE,4686157,26477,555,34689,109492,10330,162,4684333,243620,2739086,1505991,83959,21942,4.8,South West Central
Maine,Maine,ME,62,1341582,46.21409649,3,Democrats,1,3,335593,357735,54599,747927,2017,0.282000005,28.2,42.42532077,30838.04568,1335907,0.110674938,11.07,55617.1,0.0166,1.66,59852.2,North East,1,9.19,9.19,FALSE,2016,2356,FALSE,FALSE,1330232,1649,20,4001,17131,776,62,1335907,21899,1247090,15761,15141,8225,3,North East
Maryland,Md.,MD,288,6079602,47.37152202,10,Democrats,NA,10,943169,1677928,160349,2781446,2017,0.289000005,28.9,38.85911631,40124.1792,6052177,0.092838937,9.28,362042.9,0.0196,1.96,315780.1,South,2,8.94,8.94,FALSE,2016,20236,FALSE,FALSE,6024752,29019,536,24832,100995,13889,143,6052177,612709,3066146,1776692,389297,11879,3.6,South Atlantic
Massachusetts,Mass.,MA,234,6895917,33.93312303,11,Democrats,NA,11,1090893,1995196,238957,3325046,2017,0.240999997,24.1,39.79085192,41926.48685,6859819,0.104523496,10.45,488338.6,0.0219,2.19,411236,North East,1,11.24,11.24,FALSE,2016,9038,FALSE,FALSE,6823721,25975,135,19204,79155,8071,274,6859819,811292,4906564,477846,450311,9439,2.9,North East
Michigan,Mich.,MI,545,9991177,54.54812781,16,Republicans,16,NA,2279543,2268839,250902,4799284,2017,0.31400001,31.4,39.68072719,30411.4715,9962311,0.141596811,14.16,456003.8,0.0163,1.63,470290.2,Mid West,3,9.09,9.09,FALSE,2016,41122,FALSE,FALSE,9933445,45782,612,39738,130249,20262,240,9962311,504398,7476534,1359264,306376,45421,4.1,East North Central
Minnesota,Minn.,MN,226,5628162,40.1552052,10,Democrats,NA,10,1322951,1367716,254146,2944813,2017,0.270000011,27,38.63524445,35944.1087,5576606,0.094939586,9.49,324264.1,0.0209,2.09,297250.9,Mid West,4,9.7,7.92,FALSE,2016,9509,FALSE,FALSE,5525050,13365,101,18582,90421,8720,157,5576606,296666,4455056,356949,272228,53674,3.2,West North Central
Mississippi,Miss.,MS,144,2982785,48.27702969,6,Republicans,6,NA,700714,485131,23512,1209357,2017,0.351999998,35.2,38.12018196,23124.98023,2984100,0.197663824,19.77,100590,0.0047,0.47,120168.1,South,5,0,0,FALSE,2016,13720,FALSE,FALSE,2985415,8411,237,23489,54725,4307,80,2984100,86035,1688447,1130323,27467,13240,5.4,South East Central
