"","State","year","MOV","WP"
"1","Alabama","2016",0.28,"Republican"
"2","Alaska","2016",0.14,"Republican"
"3","Arizona","2016",0.04,"Republican"
"4","Arkansas","2016",0.27,"Republican"
"5","California","2016",-0.3,"Democrat"
"6","Colorado","2016",-0.05,"Democrat"
"7","Connecticut","2016",-0.14,"Democrat"
"8","Delaware","2016",-0.11,"Democrat"
"9","District of Columbia","2016",-0.87,"Democrat"
"10","Florida","2016",0.01,"Republican"
"11","Georgia","2016",0.05,"Republican"
"12","Hawaii","2016",-0.32,"Democrat"
"13","Idaho","2016",0.32,"Republican"
"14","Illinois","2016",-0.17,"Democrat"
"15","Indiana","2016",0.19,"Republican"
"16","Iowa","2016",0.09,"Republican"
"17","Kansas","2016",0.21,"Republican"
"18","Kentucky","2016",0.3,"Republican"
"19","Louisiana","2016",0.2,"Republican"
"20","Maine","2016",-0.03,"Democrat"
"21","Maryland","2016",-0.26,"Democrat"
"22","Massachusetts","2016",-0.27,"Democrat"
"23","Michigan","2016",0.01,"Republican"
"24","Minnesota","2016",-0.01,"Democrat"
"25","Mississippi","2016",0.18,"Republican"
"26","Missouri","2016",0.19,"Republican"
"27","Montana","2016",0.2,"Republican"
"28","Nebraska","2016",0.25,"Republican"
"29","Nevada","2016",-0.02,"Democrat"
"30","New Hampshire","2016",-0.01,"Democrat"
"31","New Jersey","2016",-0.14,"Democrat"
"32","New Mexico","2016",-0.08,"Democrat"
"33","New York","2016",-0.22,"Democrat"
"34","North Carolina","2016",0.04,"Republican"
"35","North Dakota","2016",0.36,"Republican"
"36","Ohio","2016",0.08,"Republican"
"37","Oklahoma","2016",0.36,"Republican"
"38","Oregon","2016",-0.11,"Democrat"
"39","Pennsylvania","2016",0.01,"Republican"
"40","Rhode Island","2016",-0.15,"Democrat"
"41","South Carolina","2016",0.14,"Republican"
"42","South Dakota","2016",0.3,"Republican"
"43","Tennessee","2016",0.26,"Republican"
"44","Texas","2016",0.09,"Republican"
"45","Utah","2016",0.19,"Republican"
"46","Vermont","2016",-0.27,"Democrat"
"47","Virginia","2016",-0.06,"Democrat"
"48","Washington","2016",-0.16,"Democrat"
"49","West Virginia","2016",0.43,"Republican"
"50","Wisconsin","2016",0.01,"Republican"
"51","Wyoming","2016",0.46,"Republican"
"52","Alabama","2012",0.23,"Republican"
"53","Alaska","2012",0.14,"Republican"
"54","Arizona","2012",0.09,"Republican"
"55","Arkansas","2012",0.24,"Republican"
"56","California","2012",-0.23,"Democrat"
"57","Colorado","2012",-0.05,"Democrat"
"58","Connecticut","2012",-0.17,"Democrat"
"59","Delaware","2012",-0.19,"Democrat"
"60","District of Columbia","2012",-0.84,"Democrat"
"61","Florida","2012",-0.01,"Democrat"
"62","Georgia","2012",0.08,"Republican"
"63","Hawaii","2012",-0.43,"Democrat"
"64","Idaho","2012",0.32,"Republican"
"65","Illinois","2012",-0.17,"Democrat"
"66","Indiana","2012",0.1,"Republican"
"67","Iowa","2012",-0.06,"Democrat"
"68","Kansas","2012",0.22,"Republican"
"69","Kentucky","2012",0.22,"Republican"
"70","Louisiana","2012",0.17,"Republican"
"71","Maine","2012",-0.15,"Democrat"
"72","Maryland","2012",-0.26,"Democrat"
"73","Massachusetts","2012",-0.23,"Democrat"
"74","Michigan","2012",-0.09,"Democrat"
"75","Minnesota","2012",-0.08,"Democrat"
"76","Mississippi","2012",0.11,"Republican"
"77","Missouri","2012",0.1,"Republican"
"78","Montana","2012",0.13,"Republican"
"79","Nebraska","2012",0.22,"Republican"
"80","Nevada","2012",-0.06,"Democrat"
"81","New Hampshire","2012",-0.06,"Democrat"
"82","New Jersey","2012",-0.17,"Democrat"
"83","New Mexico","2012",-0.1,"Democrat"
"84","New York","2012",-0.28,"Democrat"
"85","North Carolina","2012",0.02,"Republican"
"86","North Dakota","2012",0.19,"Republican"
"87","Ohio","2012",-0.03,"Democrat"
"88","Oklahoma","2012",0.34,"Republican"
"89","Oregon","2012",-0.12,"Democrat"
"90","Pennsylvania","2012",-0.05,"Democrat"
"91","Rhode Island","2012",-0.28,"Democrat"
"92","South Carolina","2012",0.11,"Republican"
"93","South Dakota","2012",0.18,"Republican"
"94","Tennessee","2012",0.2,"Republican"
"95","Texas","2012",0.16,"Republican"
"96","Utah","2012",0.48,"Republican"
"97","Vermont","2012",-0.36,"Democrat"
"98","Virginia","2012",-0.04,"Democrat"
"99","Washington","2012",-0.15,"Democrat"
"100","West Virginia","2012",0.26,"Republican"
"101","Wisconsin","2012",-0.07,"Democrat"
"102","Wyoming","2012",0.41,"Republican"
"103","Alabama","2008",0.21,"Republican"
"104","Alaska","2008",0.21,"Republican"
"105","Arizona","2008",0.09,"Republican"
"106","Arkansas","2008",0.2,"Republican"
"107","California","2008",-0.24,"Democrat"
"108","Colorado","2008",-0.09,"Democrat"
"109","Connecticut","2008",-0.23,"Democrat"
"110","Delaware","2008",-0.25,"Democrat"
